second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
240,36,35,4,0.25,0.25,0.8230574,0.8230574,0.539993286,408,0.3659193,0.3659193,4,0,0,0,0
240,39,38,1,0.0625,0.0625,0.006558597,0.006558597,0.004302979,102,0.09147982,0.09147982,1,0,0,0,0
240,16,29,1,0.125,0.0625,0.004977091,0,0,69,0.12466368,0.06188341,0,0,0,48,0
241,16,29,4,0.45454547,0.36363637,0.45125,0.37708333,0.013809204,303,0.4500632,0.3830594,0,0,0,52,0
241,36,35,1,0.09090909,0.09090909,0.11708333,0.11708333,0.00428772,102,0.1289507,0.1289507,1,0,0,0,0
241,29,16,4,0.36363637,0.36363637,0.31458333,0.31458333,0.011520386,231,0.2920354,0.2920354,0,0,0,53,0
241,39,43,1,0.09090909,0.09090909,0.11708333,0.11708333,0.00428772,102,0.1289507,0.1289507,1,0,0,0,0
241,16,23,1,0.45454547,0.09090909,0.45125,0.07416666,0.002716064,53,0.4500632,0.067003794,0,0,0,11,0
242,16,23,1,0.6666667,0.16666667,0.7080292,0.16058394,0.00302124,62,0.7284264,0.1573604,0,0,0,12,0
242,23,16,2,0.33333334,0.33333334,0.2919708,0.2919708,0.005493164,107,0.2715736,0.2715736,0,0,0,12,0
242,16,25,3,0.6666667,0.5,0.7080292,0.54744524,0.010299683,225,0.7284264,0.57106596,0,0,0,34,0
243,16,25,1,0.5,0.1,0.5229991,0.10625575,0.00352478,78,0.53361344,0.1092437,0,0,0,35,0
243,25,16,4,0.4,0.4,0.3472861,0.3472861,0.011520386,231,0.32352942,0.32352942,0,0,0,28,0
243,39,43,1,0.1,0.1,0.12971482,0.12971482,0.004302979,102,0.14285715,0.14285715,1,0,0,0,0
243,16,30,4,0.5,0.4,0.5229991,0.41674334,0.013824463,303,0.53361344,0.42436975,0,0,0,57,0
244,5,32,1,0.0625,0.1875,0.01949811,0.13657607,0.009994507,37,0.030756442,0.092269324,0,0,0,12,0
244,6,32,1,0.0625,0.1875,0.058553867,0.13657607,0.030014038,37,0.030756442,0.092269324,0,0,0,14,0
244,9,32,1,0.0625,0.1875,0.0585241,0.13657607,0.029998779,37,0.030756442,0.092269324,0,0,0,12,0
244,30,16,4,0.25,0.25,0.02247492,0.02247492,0.011520386,231,0.19201995,0.19201995,0,0,0,54,0
244,44,43,4,0.25,0.4375,0.14494091,0.82773197,0.074295044,408,0.33915213,0.59351623,4,0,0,0,0
244,39,43,3,0.1875,0.4375,0.68279105,0.82773197,0.349990845,306,0.2543641,0.59351623,3,0,0,0,0
244,16,25,2,0.125,0.125,0.013217039,0.013217039,0.006774902,147,0.12219451,0.12219451,0,0,0,37,0
245,39,43,2,0.16666667,0.16666667,0.11089226,0.11089226,0.008590698,204,0.2236842,0.2236842,2,0,0,0,0
245,16,25,5,0.41666666,0.41666666,0.22414812,0.22414812,0.017364502,381,0.41776314,0.41776314,0,0,0,42,0
245,25,16,4,0.33333334,0.33333334,0.14870986,0.14870986,0.011520386,231,0.25328946,0.25328946,0,0,0,32,0
245,47,49,1,0.083333336,0.083333336,0.5162498,0.5162498,0.039993286,96,0.10526316,0.10526316,1,0,0,1,0
246,16,25,1,0.44444445,0.11111111,0.45190275,0.12209302,0.00352478,78,0.45588234,0.12745099,0,0,0,43,0
246,25,16,4,0.44444445,0.44444445,0.39904863,0.39904863,0.011520386,231,0.37745097,0.37745097,0,0,0,36,0
246,39,43,1,0.11111111,0.11111111,0.14904863,0.14904863,0.004302979,102,0.16666667,0.16666667,1,0,0,0,0
246,16,27,3,0.44444445,0.33333334,0.45190275,0.32980973,0.009521484,201,0.45588234,0.32843137,0,0,0,26,0
247,16,27,2,0.22222222,0.22222222,0.019011406,0.019011406,0.006256104,131,0.22902098,0.22902098,0,0,0,28,0
247,27,16,3,0.33333334,0.33333334,0.025874062,0.025874062,0.008514404,169,0.29545453,0.29545453,0,0,0,23,0
247,39,44,1,0.11111111,0.11111111,0.013076139,0.013076139,0.004302979,102,0.17832167,0.17832167,1,0,0,0,0
247,33,49,1,0.11111111,0.11111111,0.7292961,0.7292961,0.239990234,96,0.16783217,0.16783217,1,0,0,0,0
247,0,32,1,0.11111111,0.22222222,0.060790133,0.21274228,0.020004272,37,0.064685315,0.12937063,0,0,0,14,0
247,2,32,1,0.11111111,0.22222222,0.15195215,0.21274228,0.050003052,37,0.064685315,0.12937063,0,0,0,14,0
248,7,32,1,0.083333336,0.33333334,0.3446934,0.82717997,0.050003052,37,0.054896142,0.21958457,0,0,0,15,0
248,12,32,1,0.083333336,0.33333334,0.0688966,0.82717997,0.009994507,37,0.054896142,0.21958457,0,0,0,16,0
248,13,32,1,0.083333336,0.33333334,0.0688966,0.82717997,0.009994507,37,0.054896142,0.21958457,0,0,0,12,0
248,14,32,1,0.083333336,0.33333334,0.3446934,0.82717997,0.050003052,37,0.054896142,0.21958457,0,0,0,10,0
248,16,27,2,0.33333334,0.16666667,0.08456927,0.04501946,0.006530762,140,0.37833828,0.20771514,0,0,0,30,0
248,27,16,3,0.25,0.25,0.058588408,0.058588408,0.008499146,169,0.25074184,0.25074184,0,0,0,26,0
