No.,Time,Source,Destination,Protocol,Length,Info
124,238.22276,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
125,238.94,::201:1:1:1,::209:9:9:9,UDP,53,8214  >  8214 Len=4
126,238.942728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
127,238.98,::201:1:1:1,::209:9:9:9,UDP,62,8214  >  8214 Len=4
128,238.983016,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
129,239.11,::209:9:9:9,::201:1:1:1,UDP,53,8214  >  8214 Len=4
130,239.112728,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
131,239.15,fe80::208:8:8:8,fe80::209:9:9:9,ICMPv6,102,RPL Control (DODAG Information Object)
132,239.154296,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
133,239.24,::209:9:9:9,::201:1:1:1,UDP,54,8214  >  8214 Len=4
134,239.24276,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
135,239.34,00:0e:00:0e:00:0e:00:0e,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,23,"Data, Dst: FujianSt_0b:00:0b:00:0b, Src: Atrie_0e:00:0e:00:0e"
136,239.341768,,00:0e:00:0e:00:0e:00:0e,IEEE 802.15.4,19,"Ack, Dst: Atrie_0e:00:0e:00:0e"
137,239.95,fe80::209:9:9:9,fe80::204:4:4:4,ICMPv6,102,RPL Control (DODAG Information Object)
138,239.954296,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
139,239.96,::201:1:1:1,::209:9:9:9,UDP,53,8214  >  8214 Len=4
140,239.962728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
141,240,::201:1:1:1,::209:9:9:9,UDP,62,8214  >  8214 Len=4
142,240.003016,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
143,240.01,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
144,240.03,00:03:00:03:00:03:00:03,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
145,240.09,00:09:00:09:00:09:00:09,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Tmt_09:00:09:00:09"
146,240.13,::209:9:9:9,::201:1:1:1,UDP,53,8214  >  8214 Len=4
147,240.132728,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
